"Kontenklasse","Kontengruppe","Kontenart","Konto","Unterkonto","Bereichsabgrenzung","Bezeichnung"
,,,"1411",,,"Investmentzertifikate "
,,"142",,,,"Kapitalmarktpapiere "
,,,"142-",,"B","Kapitalmarktpapiere"
,,"143",,,,"Geldmarktpapiere "
,,,"143-",,"B","Geldmarktpapiere "
,,"144",,,,"Finanzderivate "
,,,"1441",,,"Finanzderivate "
,,"149",,,,"Sonstige Wertpapiere und sonstige Einlagen"
,,,"1491",,,"Sonstige Wertpapiere"
,,,"1492",,,"Sonstige Einlagen"
,"15",,,,,"Öffentlich-rechtliche Forderungen und Forderungen aus Transferleistungen"
,,"151",,,,"Öffentlich-rechtliche Forderungen aus Dienstleistungen"
,,,1511,,,"Öffentlich-rechtliche Forderungen aus Dienstleistungen"
,,,1519,,,"Wertberichtigung öffentlich-rechtliche Forderungen aus Dienstleistungen"
,,,,15191,,"Einzelwertberichtigung öffentlich-rechtliche Forderungen aus Dienstleistungen"
,,,,15192,,"Pauschalwertberichtigung öffentlich-rechtliche Forderungen aus Dienstleistungen"
,,152,,,,"Steuerforderungen"
,,,1521,,,"Steuerforderungen"
,,,1529,,,"Wertberichtigung Steuerforderungen"
,,,,"15291",,"Einzelwertberichtigung Steuerforderungen"
,,,,"15292",,"Pauschalwertberichtigung Steuerforderungen"
,,153,,,,"Forderungen aus sonstigen Transferleistungen"
,,,"1531",,,"Forderungen aus sonstigen Transferleistungen"
,,,"1539",,,"Wertberichtigung Forderungen aus sonstigen Transferleistungen"
,,,,"15391",,"Einzelwertberichtigung Forderungen aus sonstigen Transferleistungen"
,,,,"15392",,"Pauschalwertberichtigung Forderungen aus sonstigen Transferleistungen"
,,"159",,,,"Übrige öffentlich-rechtliche Forderungen"
,,,"1591",,,"Übrige öffentlich-rechtliche Forderungen"
,,,"1599",,,"Wertberichtigung übrige öffentlich-rechtliche Forderungen"
,,,,"15991",,"Einzelwertberichtigung übrige öffentlich-rechtliche Forderungen "
,,,,"15992",,"Pauschalwertberichtigung übrige öffentlich-rechtliche Forderungen "
,"16",,,,,"Privatrechtliche Forderungen"
,,"161",,,,"Privatrechtliche Forderungen aus Lieferung und Leistung"
,,,"1611",,,"Privatrechtliche Forderungen aus Lieferung und Leistung"
,,,"1619",,,"Wertberichtigung privatrechtliche Forderungen aus Lieferungen und Leistungen"
,,,,"16191",,"Einzelwertberichtigung privatrechtliche Forderungen aus Lieferungen und Leistungen"
,,,,"16192",,"Pauschalwertberichtigung privatrechtliche Forderungen aus Lieferungen und Leistungen"
,,"168",,,,"Vorsteuer"
,,"169",,,,"Übrige privatrechtliche Forderungen"
,,,"1691",,,"Übrige privatrechtliche Forderungen"
,,,"1699",,,"Wertberichtigung übrige privatrechtliche Forderungen"
,,,,"16991",,"Einzelwertberichtigung übrige privatrechtliche Forderungen"
,,,,"16992",,"Pauschalwertberichtigung übrige privatrechtliche Forderungen"
,"17",,,,,"Liquide Mittel"
,,"171",,,,"Sichteinlagen bei Banken und Kreditinstituten"
,,,"1711",,,"Sichteinlagen bei Banken und Kreditinstituten"
,,"173",,,,"Kassenbestand"
,,,"1731",,,"Kassenbestand"
,,174,,,,"Handvorschüsse"
,,,"1741",,,"Handvorschüsse"
,"18",,,,,"Aktive Rechnungsabgrenzung (RAP) und Sonderposten für geleistete Investitionszuschüsse"
,,"180",,,,"Aktive Rechnungsabgrenzung (RAP)"
,,,"1801",,,"Aktive Rechnungsabgrenzung (RAP)"
,,,"1803",,,"Sonderposten für geleistete Zuwendungen"
,,181,,,,"Disagio"
,,182,,,,"Zölle und Verbrauchssteuern"
,,183,,,,"Umsatzsteuer auf erhaltene Anzahlungen"
,,189,,,,"Freihalten für Verrechnungskonten"
,"19",,,,,"Nettoposition (nicht gedeckter Fehlbetrag)"
2,,,,,,"Eigenkapital, Sonderposten, Verbindlichkeiten, Rückstellungen und passive Rechnungsabgrenzung"
,20,,,,,"Eigenkapital (Basiskapital, Rücklagen und Fehlbeträge des ordentlichen Ergebnisses)"
,,"200",,,,"Basiskapital"
,,201,,,,"Rücklagen aus Überschüssen des ordentlichen Ergebnisses"
,,202,,,,"Rücklagen aus Überschüssen des Sonderergebnisses"
,,204,,,,"Zweckgebundene Rücklagen"
,,,"2041",,,"Zweckgebundene Rücklagen zur Abbildung von rechtlich unselbständigen Stiftungen"
,,,,"(20411)",,"Stiftungskapital"
,,,,"(20412)",,"Kapitalerhaltungsrücklage"
,,,,"(20413)",,"Ausgleichsrücklage für gewährte Zuwendungen"
,,,,"(20414)",,"Ergebnisrücklage"
,,206,,,,"Fehlbeträge des ordentlichen Ergebnisses"
,,,"2061",,,"Fehlbetragsvortrag aus Vorjahren"
,,,"2062",,,"Fehlbetrag laufendes Jahr"
,21,,,,,"Sonderposten "
,,211,,,,"Sonderposten aus Zuwendungen und Umlagen für Vermögensgegenstände"
,,212,,,,"Sonderposten aus Beiträgen und ähnl. Entgelten"
,,219,,,,"Sonstige Sonderposten"
,"22",,,,,"Anleihen"
,,"221",,,,"Anleihen"
,,,"221-",,"C und D","Anleihen"
,"23",,,,,"Verbindlichkeiten aus Kreditaufnahmen"
,,"231",,,,"Verbindlichkeiten aus Krediten für Investitionen"
,,,"231-",,"B und C
tw. D
siehe Zuord-
nungs-
vor-
schriften","Verbindlichkeiten aus Kreditaufnahmen für Investitionen"
,,"239",,,,"Verbindlichkeiten aus Krediten zur Liquiditätssicherung"
,,,"239-",,"B 
tw. D
siehe Zuord-
nungs-
vor-
schriften","Verbindlichkeiten aus Krediten zur Liquiditätssicherung"
,"24",,,,,"Verbindlichkeiten aus kreditähnlichen Rechtsgeschäften"
,,"241",,,,"Hypotheken-, Grund- und Rentenschulden"
,,,"2411",,,"Hypothekenschulden"
,,,"2412",,,"Grundschulden"
,,,"2413",,,"Rentenschulden"
,,"242",,,,"Restkaufgelder "
,,,"2421",,,"Restkaufgelder "
,,"243",,,,"Leasinggeschäfte"
,,,"2431",,,"Finanzierungsleasing"
,,,"2435",,,"Übrige Leasinggeschäfte"
,,249,,,,"Sonstige Kreditaufnahmen gleichkommende Vorgänge"
,"25",,,,,"Verbindlichkeiten aus Lieferungen und Leistungen"
,,"251",,,,"Verbindlichkeiten aus Lieferungen und Leistungen"
,,,"2511",,,"Verbindlichkeiten aus Lieferungen und Leistungen"
,"26",,,,,"Verbindlichkeiten aus Transferleistungen"
,,"261",,,,"Verbindlichkeiten aus Transferleistungen"
,,,"2611",,,"Verbindlichkeiten aus Transferleistungen"
,"27",,,,,"Sonstige Verbindlichkeiten"
,,"271",,,,"Sonstige Wertpapierschulden"
,,,"271-",,"C und D","Sonstige Wertpapierschulden"
,,"279",,,,"Sonstige Verbindlichkeiten"
,,,"279-",,,"Sonstige Verbindlichkeiten"
,,,"2791",,,"ungeklärte Zahlungseingänge"
,,,"2792",,,"Umsatzsteuer"
,,,"2797",,,"Umsatzsteuer-Zahllastkonto"
,,,"2799",,,"Weitere sonstige Verbindlichkeiten"
,"28",,,,,"Rückstellungen"
,,"281",,,,"Pensionsrückstellungen und ähnliche Verpflichtungen"
,,,"2811",,,"Pensionsrückstellungen (für Kommunalen Versorgungsverband Baden-Württemberg)"
,,,"2812",,,"Rückstellungen für Beihilfen (für Kommunalen Versorgungsverband Baden-Württemberg)"
,,"282",,,,"Rückstellungen für Altersteilzeitarbeit und ähnlichen Maßnahmen"
,,"283",,,,"Rückstellungen für die Verpflichtungen aus der Erstattung von Unterhaltsvorschüssen"
,,"284",,,,"Rückstellungen für die Stilllegung und Nachsorge von Abfalldeponien"
,,"285",,,,"Rückstellungen für den Ausgleich von ausgleichspflichtigen Gebührenüberschüssen"
,,"286",,,,"Rückstellungen für die Sanierung von Altlasten"
,,"287",,,,"Rückstellungen für drohende Verpflichtungen aus Bürgschaften und Gewährleistungen"
,,"289",,,,"Weitere Rückstellungen"
,,,,,,
,"29",,,,,"Passive Rechnungsabgrenzung (RAP)"
,,"291",,,,"Passive Rechnungsabgrenzung (RAP)"
,,,"2911",,,"Passive Rechnungsabgrenzung (RAP)"
"3",,,,,,"Erträge"
,"30",,,,,"Steuern und ähnliche Abgaben"
,,"301",,,,"Realsteuern"
,,,"3011",,,"Grundsteuer A"
,,,"3012",,,"Grundsteuer B"
,,,"3013",,,"Gewerbesteuer"
,,"302",,,,"Gemeindeanteile an den Gemeinschaftssteuern"
,,,"3021",,,"Gemeindeanteil an der Einkommensteuer"
,,,"3022",,,"Gemeindeanteil an der Umsatzsteuer"
,,"303",,,,"Sonstige Gemeindesteuern"
,,,"3031",,,"Vergnügungssteuer"
,,,"3032",,,"Hundesteuer"
,,,"3033",,,"Jagdsteuer"
,,,"3034",,,"Zweitwohnungssteuer"
,,,"3039",,,"Sonstige örtliche Steuern"
,,304,,,,"Steuerähnliche Erträge"
,,,3041,,,"Fremdenverkehrsbeiträge"
,,,3042,,,"Abgaben von Spielbanken"
,,,3049,,,"Sonstige steuerähnliche Erträge"
,,305,,,,"Ausgleichsleistungen"
,,,3051,,,"Leistungen nach dem Familienleistungsausgleich"
,,,"3052",,,"Sonstige Ausgleichsleistungen"
,,,,"30521",,"Leistungen des Landes aus der Umsetzung des 4. Gesetzes für moderne Dienstleistungen am Arbeitsmarkt (Weitergabe Wohngeldentlastung)"
,31,,,,,"Zuwendungen und allgemeine Umlagen"
,,311,,,,"Schlüsselzuweisungen"
,,,"3111",,,"Schlüsselzuweisungen vom Land"
,,312,,,,"Bedarfszuweisungen"
,,,"3121",,,"Bedarfszuweisungen vom Land"
,,313,,,,"Sonstige allgemeine Zuweisungen"
,,,"313-",,"A","Sonstige allgemeine Zuweisungen"
,,314,,,,"Zuweisungen und Zuschüsse für laufende Zwecke"
,,,"314-",,"A","Zuweisungen und Zuschüsse für laufende Zwecke"
,,,,"31419",,"Laufende Zuweisungen an die Stadt- und Landkreise zu den örtlichen Sozialhilfelasten (§ 21 FAG)"
,,315,,,,"Zuweisungen des Landes aus dem Aufkommen an der Grunderwerbssteuer"
,,,"3151",,,"Zuweisungen des Landes aus dem Aufkommen an der Grunderwerbssteuer"
,,316,,,,"Erträge aus der Auflösung von Sonderposten"
,,,"3161",,,"Erträge aus der Auflösung von Sonderposten aus Zuwendungen"
,,,"3162",,,"Erträge aus der Auflösung von Sonderposten aus Beiträgen"
,,"318",,,,"Allgemeine Umlagen"
,,,"318-",,"A","Allgemeine Umlagen"
,,,,"31829",,"Ausgleich für die Übernahme von Aufgaben der Landeswohlfahrtsverbände, Status-quo-Ausgleich (§ 22 FAG)"
,,"319",,,,"Aufgabenbezogene Leistungsbeteiligungen"
,,,"3191",,,"Leistungsbeteiligung für die Umsetzung der Grundsicherung für Arbeitsuchende"
,"32",,,,,"Sonstige Transfererträge"
,,"321",,,,"Ersatz von sozialen Leistungen außerhalb von Einrichtungen"
,,,"3211",,,"Kostenbeiträge und Aufwendungsersatz; Kostenersatz"
,,,"3212",,,"Übergeleitete Unterhaltsansprüche gegen bürgerlich-rechtliche Unterhaltsverpflichtete"
,,,"3213",,,"Leistungen von Sozialleistungsträgern"
,,,"3214",,,"Sonstige Ersatzleistungen"
,,,"3215",,,"Rückzahlung gewährter Hilfen (Tilgung und Zinsen von Darlehen)"
,,"322",,,,"Ersatz von sozialen Leistungen in Einrichtungen"
,,,"3221",,,"Kostenbeiträge und Aufwendungsersatz; Kostenersatz"
,,,"3222",,,"Übergeleitete Unterhaltsansprüche gegen bürgerlich-rechtliche Unterhaltsverpflichtete"
,,,"3223",,,"Leistungen von Sozialleistungsträgern"
,,,"3224",,,"Sonstige Ersatzleistungen"
,,,"3225",,,"Rückzahlung gewährter Hilfen (Tilgung und Zinsen von Darlehen)"
,,"323",,,,"Schuldendiensthilfen"
,,,"323-",,"A","Schuldendiensthilfen"
,,"329",,,,"Andere sonstige Transfererträge"
,,,"3291",,,"Andere sonstige Transfererträge"
,"33",,,,,"Entgelte für die Benutzung/Inanspruchnahme öffentlicher Einrichtungen"
,,"331",,,,"Verwaltungsgebühren"
,,,"3311",,,"Verwaltungsgebühren"
,,"332",,,,"Benutzungsgebühren und ähnliche Entgelte"
,,,3321,,,"Benutzungsgebühren und ähnliche Entgelte, soweit nicht 3322"
,,,"3322",,,"Elternbeiträge für die Betreuung von Kindern von 0 bis unter 3 Jahren in Kindertagesstätten und in der Kindertagespflege"
,,336,,,,"Zweckgebundene Abgaben"
,,,3361,,,"Zweckgebundene Abgaben"
,34,,,,,"Privatrechtliche Leistungsentgelte, Kostenerstattungen und Kostenumlagen"
,,341,,,,"Mieten und Pachten"
,,,3411,,,"Mieten und Pachten"
,,342,,,,"Erträge aus Verkauf"
,,,3421,,,"Erträge aus Verkauf"
,,346,,,,"Sonstige privatrechtliche Leistungsentgelte"
,,,3461,,,"Sonstige privatrechtliche Leistungsentgelte"
,,348,,,,"Erträge aus Kostenerstattungen, Kostenumlagen"
,,,"348-",,"A","Erträge aus Kostenerstattungen, Kostenumlagen"
,35,,,,,"Sonstige ordentliche Erträge"
,,351,,,,"Konzessionsabgaben"
,,,3511,,,"Konzessionsabgaben"
,,352,,,,"Erstattung von Steuern"
,,,3521,,,"Erstattung von Steuern"
,,356,,,,"Besondere Erträge"
,,,"3561",,,"Bußgelder"
,,,"3562",,,"Säumniszuschläge, Zinsen auf Abgaben und dergl."
,,,"3563",,,"Erträge aus der Inanspruchnahme von Bürgschaften und Gewährverträgen usw."
,,357,,,,"Weitere Erträge aus der Auflösung von Sonderposten"
,,,"3571",,,"Erträge aus der Auflösung von sonstigen Sonderposten"
,,358,,,,"Nicht zahlungswirksame ordentliche Erträge"
,,,3581,,,"Erträge aus Zuschreibungen"
,,,3582,,,"Erträge aus der Auflösung oder Herabsetzung von Rückstellungen"
,,,3583,,,"Sonstige nicht zahlungswirksame ordentliche Erträge"
,,,,"35831",,"Erträge aus der Auflösung oder Herabsetzung von Wertberichtigungen auf Forderungen (Einzelwertberichtigungen, Pauschalwertberichtigungen)"
,,,,"35832",,"Erlösberichtigungen (z. B. gewährte Skonti, Boni)"
,,,,"35833",,"Erträge aus Nachaktivierung"
,,,,"35837",,"Entnahme Rücklage rechtlich unselbständige Stiftungen zum Ausgleich des ordentlichen Ergebnisses"
,,,,"35839",,"Sonstige weitere nicht zahlungswirksame ordentliche Erträge"
,,359,,,,"Andere sonstige ordentliche Erträge"
,,,3591,,,"Andere sonstige ordentliche Erträge"
,36,,,,,"Finanzerträge"
,,361,,,,"Zinserträge"
,,,"361-",,"B","Zinserträge"
,,365,,,,"Erträge aus Gewinnanteilen aus verbundenen Unternehmen und Beteiligungen"
,,,3651,,,"Erträge aus Gewinnanteilen aus verbundenen Unternehmen und Beteiligungen"
,,369,,,,"Sonstige Finanzerträge"
,,,"3694",,,"Erträge im Rahmen von Finanzderivatgeschäften"
,,,"3699",,,"Weitere sonstige Finanzerträge"
,37,,,,,"Aktivierte Eigenleistungen und Bestandsveränderungen"
,,371,,,,"Aktivierte Eigenleistungen  "
,,,3711,,,"Aktivierte Eigenleistungen  "
,,372,,,,"Bestandsveränderungen"
,,,"3721",,,"Bestandsveränderungen"
,38,,,,,"Erträge aus internen Leistungsbeziehungen"
,,381,,,,"Erträge aus internen Leistungsbeziehungen"
,,,3811,,,"Erträge aus internen Leistungsbeziehungen"
"4",,,,,,"Aufwendungen"
,40,,,,,"Personalaufwendungen"
,,401,,,,"Dienstaufwendungen"
,,,4011,,,"Beamte"
,,,4012,,,"Tariflich Beschäftigte"
,,,4019,,,"Sonstige Beschäftigte"
,,402,,,,"Beiträge zu Versorgungskassen"
,,,4021,,,"Beamte"
,,,4022,,,"Tariflich Beschäftigte"
,,,4029,,,"Sonstige Beschäftigte"
,,403,,,,"Beiträge zur gesetzlichen Sozialversicherung"
,,,4031,,,"Beamte"
,,,4032,,,"Tariflich Beschäftigte"
,,,4039,,,"Sonstige Beschäftigte"
,,404,,,,"Beihilfen, Unterstützungsleistungen für Bedienstete"
,,,4041,,,"Beihilfen und Unterstützungsleistungen für Bedienstete"
,,405,,,,"Zuführungen zu Pensionsrückstellungen für Bedienstete"
,,,4051,,,"Zuführungen zu Pensionsrückstellungen für Bedienstete (für Kommunalen Versorgungsverband Baden-Württemberg)"
,,406,,,,"Zuführungen zu Beihilferückstellungen für Bedienstete "
,,,4061,,,"Zuführungen zu Beihilferückstellungen für Bedienstete (nur für Kommunalen Versorgungsverband Baden-Württemberg)"
,,407,,,,"Zuführung zu bzw. Inanspruchnahme von Rückstellungen für Altersteilzeit und andere Maßnahmen"
,,,"4071",,,"Zuführung zu bzw. Inanspruchnahme von Rückstellungen für Altersteilzeit und andere Maßnahmen"
,41,,,,,"Versorgungsaufwendungen"
,,411,,,,"Versorgungsaufwendungen"
,,,4111,,,"Beamte"
,,,4112,,,"Tariflich Beschäftigte"
,,,4119,,,"Sonstige Beschäftigte"
,,413,,,,"Beiträge zur gesetzlichen Sozialversicherung"
,,,4131,,,"Beamte"
,,,4132,,,"Tariflich Beschäftigte"
,,,4139,,,"Sonstige Beschäftigte"
,,414,,,,"Beihilfen, Unterstützungsleistungen für Versorgungsempfänger"
,,,4141,,,"Beihilfen, Unterstützungsleistungen für Versorgungsempfänger"
,,415,,,,"Zuführungen zu Pensionsrückstellungen für Versorgungsempfänger"
,,,"4151",,,"Zuführungen zu Pensionsrückstellungen für Versorgungsempfänger (nur für Kommunalen Versorgungsverband Baden-Württemberg)"
,,416,,,,"Zuführungen zu Beihilferückstellungen für Versorgungsempfänger"
,,,4161,,,"Zuführungen zu Beihilferückstellungen für Versorgungsempfänger (nur für Kommunalen Versorgungsverband Baden-Württemberg)"
,42,,,,,"Aufwendungen für Sach- und Dienstleistungen"
,,421,,,,"Unterhaltung des unbeweglichen Vermögens"
,,,4211,,,"Unterhaltung der Grundstücke und baulichen Anlagen"
,,,"4212",,,"Unterhaltung des sonstigen unbeweglichen Vermögens"
,,422,,,,"Unterhaltung des beweglichen Vermögens"
,,,4221,,,"Unterhaltung des beweglichen Vermögens"
,,,"4222",,,"Erwerb von geringwertigen Vermögensgegenständen"
,,423,,,,"Mieten und Pachten, Leasing"
,,,4231,,,"Mieten und Pachten"
,,,4232,,,"Leasing"
,,,"4233",,,"Anteil der Gebäudebewirtschaftungskosten an Mieten und Pachten bei Nutzungsüberlassung von Schulgebäuden oder von Gebäuden für Kindertagesstätten durch kommunalen Eigenbetrieb oder Eigengesellschaft"
,,,"4234",,,"Mieten und Pachten bei Nutzungsüberlassung von Schulgebäuden oder von Gebäuden für Kindertagesstätten durch kommunalen Eigenbetrieb oder Eigengesellschaft, soweit nicht Konto 4233"
,,424,,,,"Bewirtschaftung der Grundstücke und baulichen Anlagen"
,,,4241,,,"Bewirtschaftung der Grundstücke und baulichen Anlagen"
,,425,,,,"Haltung von Fahrzeugen"
,,,"4251",,,"Haltung von Fahrzeugen"
,,426,,,,"Besondere Aufwendungen für Beschäftigte"
,,,4261,,,"Besondere Aufwendungen für Beschäftigte"
,,427,,,,"Besondere Verwaltungs- und Betriebsaufwendungen"
,,,4271,,,"Besondere Verwaltungs- und Betriebsaufwendungen"
,,,"4274",,,"Lehr- und Unterrichtsmittel"
,,,"4275",,,"Lernmittel"
,,428,,,,"Aufwendungen für den Verbrauch von sonstigen Vorräten"
,,,"4281",,,"Aufwendungen für den Verbrauch von sonstigen Vorräten"
,,429,,,,"Aufwendungen für sonstige Sach- und Dienstleistungen"
,,,4291,,,"Aufwendungen für sonstige Sach- und Dienstleistungen"
,43,,,,,"Transferaufwendungen"
,,431,,,,"Zuweisungen und Zuschüsse für laufende Zwecke"
,,,"431-",,"A","Zuweisungen und Zuschüsse für laufende Zwecke"
,,,,"43181",,"Institutionelle Förderung des ehem. LWV an soziale Einrichtungen"
,,432,,,,"Schuldendiensthilfen"
,,,"432-",,"A","Schuldendiensthilfen"
,,433,,,,"Sozialtransferaufwendungen"
,,,4331,,,"Soziale Leistungen an natürliche Personen außerhalb von Einrichtungen"
,,,4332,,,"Soziale Leistungen an natürliche Personen in Einrichtungen"
,,,4339,,,"Sonstige soziale Leistungen"
,,434,,,,"Steuerbeteiligungen "
,,,4341,,,"Gewerbesteuerumlage"
,,435,,,,"Allgemeine Zuweisungen"
,,,"435-",,"A","Allgemeine Zuweisungen"
,,437,,,,"Allgemeine Umlagen"
,,,"437-",,"A","Allgemeine Umlagen"
,,,,"43729",,"Ausgleich für die Übernahme von Aufgaben der Landeswohlfahrtsverbände,
Status-quo-Ausgleich (§ 22 FAG)"
,,439,,,,"Sonstige Transferaufwendungen"
,,,4391,,,"Sonstige Transferaufwendungen"
,44,,,,,"Sonstige ordentliche Aufwendungen"
,,441,,,,"Sonstige Personal- und Versorgungsaufwendungen"
,,,4411,,,"Sonstige Personal- und Versorgungsaufwendungen"
,,442,,,,"Aufwendungen für die Inanspruchnahme von Rechten und Diensten"
,,,4421,,,"Aufwendungen für ehrenamtliche und sonstige Tätigkeit"
,,,4422,,,"Verfügungsmittel (§ 13 Satz 1 Nr. 1 GemHVO)"
,,,4429,,,"Sonstige Aufwendungen für die Inanspruchnahme von Rechten und Diensten"
,,443,,,,"Geschäftsaufwendungen"
,,,4431,,,"Geschäftsaufwendungen"
,,444,,,,"Steuern, Versicherungen, Schadensfälle, Sonderabgaben"
,,,4441,,,"Steuern, Versicherungen, Schadensfälle, Sonderabgaben"
,,445,,,,"Erstattungen für Aufwendungen von Dritten aus laufender Verwaltungstätigkeit"
,,,"445-",,"A","Erstattungen für Aufwendungen von Dritten aus laufender Verwaltungstätigkeit"
,,446,,,,"Aufgabenbezogene Leistungsbeteiligungen"
,,,4461,,,"Leistungsbeteiligung für die Umsetzung der Grundsicherung für Arbeitsuchende"
,,448,,,,"Besondere Aufwendungen"
,,,"4481",,,"Bußgelder"
,,,"4482",,,"Säumniszuschläge u.ä."
,,,"4483",,,"Aufwendungen aus der Inanspruchnahme von Gewährverträgen und Bürgschaften"
